agriculture,industry,services,gdp_log,year,country,unemployment_rate,target
68.8359331013047,5.75247299654093,25.4115939021543,22.004375253776626,2000,Zambia,12.93,12.93
3.08513112925641,26.0844929291001,70.8302268294574,23.884005547073393,2019,Trinidad and Tobago,3.523,3.523
3.90802989423864,30.5695053215273,65.522464784234,23.6767253363217,2009,Trinidad and Tobago,5.28,5.28
21.9539125538066,23.6530643033004,54.3930084437974,24.394734117056725,2001,Ukraine,11.061,11.061
22.3328453228818,31.9576238246758,45.7095308524424,23.472661051296527,1994,Tunisia,16.009,16.009
9.10265148114476,28.6749801793281,62.2223051156933,25.225288724265333,1998,Ireland,7.699,7.699
27.9124845388,23.2414785976438,48.8460368635562,20.39132627007676,1998,Guyana,11.731,11.731
3.5282567152952,21.1175865767586,75.3541345055039,27.31155636186548,2014,Switzerland,4.826,4.826
30.9424423390745,26.3836408162527,42.6739168446729,22.964627988260123,1991,Guatemala,2.684,2.684
29.3877912712962,22.7159369538231,47.8962717748808,22.642112388363813,2016,Kyrgyz Republic,3.474,3.474
1.1081716354687,17.4908581172588,81.4009702472725,26.29765756404753,2012,Israel,6.762,6.762
51.3367688271214,15.7039073877954,32.9593195617385,24.91372389992114,2017,Myanmar,1.356,1.356
18.756099512039,22.7361811055116,58.5077193824494,22.177181508157208,2015,Guyana,13.004,13.004
7.38517130074417,24.7585278259817,67.856317749114,25.835034835793277,1997,Saudi Arabia,5.327,5.327
4.88493780666655,22.3806195795839,72.7344426137495,23.935211907068123,2007,Lebanon,8.98,8.98
1.04432525172921,18.1237417210674,80.8319300304539,28.67883373043186,2019,United Kingdom,3.613,3.613
30.3601452498046,18.9906779331695,50.6490904616129,23.137513106889656,2016,Mongolia,7.235,7.235
11.9289342914264,15.3630306710936,72.70803503748,25.986459728023195,2016,Greece,23.514,23.514
34.2823897979263,21.3958873380743,44.3217228639994,27.51540233655541,2014,Indonesia,4.049,4.049
6.32111858245707,23.3565871478187,70.3222942697243,23.349766267426034,2004,Iceland,4.031,4.031
1.23235157412659,13.3601408889135,85.4075075369599,24.8454894958185,2011,Luxembourg,5.122,5.122
38.3274911650646,14.7733023662574,46.8992064686781,21.50839226299096,2002,Somalia,19.077,19.077
20.5962901586653,29.1478950160401,50.2558148252946,23.848814873882247,1995,Croatia,10.108,10.108
27.7079817918728,22.3225547165968,49.9694634915304,24.240443850889452,2009,Uzbekistan,5.04,5.04
9.22760370155628,26.7122432124567,64.0600909418013,24.655193438406926,2015,Croatia,16.175,16.175
15.7782497988684,16.6897651433734,67.5319850577583,23.558356428877687,2018,Botswana,19.681,19.681
26.5897773807523,17.6075285460319,55.8025171806869,23.017708581720054,2005,Botswana,19.847,19.847
50.3905480499384,14.7484829537497,34.8609689963119,23.621226966420874,2002,Sudan,15.514,15.514
5.43007533996284,12.9135339807335,81.6556131771072,21.904686237108677,1994,"Bahamas, The",13.83,13.83
15.5785577979529,20.525067946568,63.8952177181519,20.19434371246071,1999,Maldives,1.71,1.71
14.3746498551347,23.1770393713856,62.448312829678,27.914270596775456,2013,Mexico,4.921,4.921
11.6123885531817,19.5348657620055,68.8527456848128,25.572064114034237,2003,Argentina,15.36,15.36
45.5386550134367,14.5375367192127,39.9238082673506,24.244150722439606,2016,Cameroon,3.528,3.528
1.38289229174941,19.3375057902285,79.2795701689969,26.31460722563991,2011,Israel,7.139,7.139
66.9155360462951,10.4432673365942,22.6411869751839,22.388928105347293,1995,Myanmar,0.759,0.759
36.5295630622963,29.0768385068627,34.3936765139933,21.632422558459684,1995,Turkmenistan,8.3,8.3
92.2149381086657,2.19556032453876,5.58950156679557,20.610959858648574,1998,Burundi,3.159,3.159
18.7128478038512,27.2358024874368,54.051349708712,23.657611840889015,2003,Lithuania,12.874,12.874
48.8420503026264,15.9330580726716,35.2242046180587,20.635154701588707,2008,Comoros,4.398,4.398
14.7513386946901,33.104190100795,52.1444426045108,24.547102099485983,2015,Tunisia,15.159,15.159
54.9164361865589,14.2888211237974,30.7947426896438,23.30238334144298,2015,Equatorial Guinea,7.95,7.95
38.4559341630888,21.4755690124019,40.0685033657088,24.457500670734635,1992,"Egypt, Arab Rep.",8.92,8.92
6.80654374385099,9.43997899722349,83.7533446656395,23.49861407727268,1998,Oman,4.259,4.259
60.8585436593469,10.2497288019419,28.8917275387112,20.363883264147507,1997,Guinea-Bissau,2.986,2.986
33.7558002060594,25.008821438186,41.2353489018709,23.28692461672046,1994,Guatemala,2.581,2.581
16.9791348355792,32.2534354936169,50.7674335739645,26.532966110969596,2019,"Iran, Islamic Rep.",10.74,10.74
5.43949749649251,26.6125533504903,67.9479491530172,25.659037544716075,1991,Denmark,9.099,9.099
49.9728461539232,16.9849311184078,33.042222727669,22.857244251083763,2013,Tajikistan,11.417,11.417
25.1675396992165,24.4952420976796,50.3372557259929,22.947795756764766,2021,Kyrgyz Republic,4.096,4.096
31.7108852816805,12.6677806574819,55.6215045696358,23.15963087860888,2010,Namibia,22.12,22.12
37.7241175869052,26.7047184315417,35.5711639815531,26.460181554145976,2018,Viet Nam,1.161,1.161
5.9061462083282,27.6018951859549,66.4920076580503,26.0792717057481,2005,Ireland,4.237,4.237
1.59083479912208,22.7534517379325,75.6564917578569,22.77649614482915,1997,Brunei Darussalam,5.186,5.186
92.2410432226677,2.29396202668229,5.46495537067972,20.7236941400968,1995,Burundi,3.077,3.077
16.4359022430382,19.6319623564104,63.9321354005513,26.666697202412823,2014,Colombia,8.799,8.799
17.1838434366698,27.5060755599561,55.3100878233325,27.432405802692443,2021,Turkiye,11.969,11.969
57.6161434673014,18.5562506849675,23.8276058477312,21.143291889122455,1994,Tajikistan,3.15,3.15
24.1114419275204,19.0285259894596,56.8600320830199,24.154240428525604,2010,"Yemen, Rep.",12.779,12.779
3.31552132294919,35.8191237520156,60.8653549250352,25.31974111001292,2013,Slovak Republic,14.226,14.226
29.6689532800241,14.0380277524891,56.2930189674868,22.212221975100036,2020,Fiji,4.649,4.649
31.6601675931303,29.5085594181255,38.8312729887442,19.38318234096987,2005,Tonga,2.571,2.571
33.6469349824833,15.4435105840557,50.9095544334611,20.03406938366386,1996,Cabo Verde,12.934,12.934
21.6991812558452,22.7213808719051,55.5794378722497,19.31430354017948,1991,Maldives,0.799,0.799
6.713126401826,21.5460560777765,71.7408175203975,26.901955147892686,2014,"Venezuela, RB",6.821,6.821
3.20909653827182,26.7684589769693,70.0225944145168,23.894956361434527,2017,Trinidad and Tobago,3.394,3.394
20.9944751381215,21.2202507437314,57.7826179345516,19.57127621560361,1995,St. Vincent and the Grenadines,19.994,19.994
52.9737098312747,10.3036332811407,36.7226568875846,19.90636785121376,1999,Liberia,2.19,2.19
33.6546924275927,20.3825922147595,45.9627153576477,23.210671324444025,2004,Uzbekistan,8.162,8.162
6.86755095241103,23.3072301356916,69.8251100275913,24.103956375537134,2017,Latvia,8.715,8.715
13.3590751537205,25.9247134756106,60.7161449687247,24.223472840766465,2004,Libya,18.911,18.911
1.42817054419814,29.6575696792142,68.9142597765876,26.751975090321107,2021,United Arab Emirates,3.105,3.105
67.5010701380063,8.8868739692663,23.612138849162,20.999361919316616,2007,Eritrea,5.575,5.575
1.39399470572749,27.6900882247481,70.9159097313842,28.861704529745506,2015,Germany,4.612,4.612
55.4324881488702,20.6636777945494,23.9038340565803,21.36961202459082,1992,Tajikistan,1.85,1.85
29.500474193701,29.9004565977788,40.5990730691435,29.998881942776308,2014,China,4.63,4.63
11.7394628247528,36.5617489662396,51.6987882090075,22.26565666965019,2001,Mauritius,9.14,9.14
73.5005731955443,7.14011508323132,19.3593117212243,23.108623159343363,2014,Niger,0.524,0.524
9.16703230096301,28.9184311348535,61.9144460979659,24.716669212924558,1992,United Arab Emirates,1.713,1.713
6.50802185845983,24.8007738505148,68.6911960293937,27.765265465345845,2010,"Korea, Rep.",3.324,3.324
73.1974484051141,7.3927833630028,19.4097682318831,21.773198172389865,1992,Uganda,3.556,3.556
1.07644266456502,31.2034919951247,67.7200653403103,25.198470160980325,1995,Singapore,3.3,3.3
35.0832998935412,20.519356892669,44.397317896597,22.894996152271084,2004,Bolivia,2.622,2.622
14.6731676268786,18.7167810215317,66.6100513515897,24.74446258823808,2015,Panama,4.335,4.335
